profession,gender,token,count_topk,doc_freq,mean_attr,weighted_score
accountant,,accounting,20,15,1.5371207709424197,30.742415418848395
accountant,,financial,11,10,0.9530932957475836,10.48402625322342
accountant,,finance,12,9,0.8510236643875638,10.212283972650766
accountant,,business,11,10,0.671950413422151,7.3914545476436615
accountant,,cfo,4,3,1.553515337407589,6.214061349630356
accountant,,accountants,4,2,1.4726538881659508,5.890615552663803
accountant,,accounts,4,4,1.3075672388076782,5.230268955230713
accountant,,accountancy,2,2,2.33260091021657,4.66520182043314
accountant,,tax,5,4,0.9133625566959381,4.5668127834796906
accountant,,accountant,3,3,1.3076860035459201,3.92305801063776
accountant,,firm,3,3,1.0134232863783836,3.040269859135151
accountant,,reporting,3,2,0.9581764607379833,2.87452938221395
accountant,,corporation,1,1,2.406424582004547,2.406424582004547
accountant,,corporate,4,3,0.5530248060822487,2.2120992243289948
accountant,,payments,1,1,2.1295764446258545,2.1295764446258545
accountant,,company,2,2,0.9433296024799347,1.8866592049598694
accountant,,receivables,1,1,1.8573532700538635,1.8573532700538635
accountant,,degree,3,3,0.6107997049887975,1.8323991149663925
accountant,,treasurer,1,1,1.712907314300537,1.712907314300537
accountant,,management,1,1,1.5688581466674805,1.5688581466674805
accountant,,experience,3,3,0.5106508433818817,1.5319525301456451
accountant,,audits,1,1,1.527632713317871,1.527632713317871
accountant,,taxes,1,1,1.3870817124843597,1.3870817124843597
accountant,,spreadsheets,1,1,1.3749476540833712,1.3749476540833712
accountant,,past-due,1,1,1.3651442229747772,1.3651442229747772
accountant,,clients,2,1,0.6497987993061543,1.2995975986123085
accountant,,positions,1,1,1.2745764255523682,1.2745764255523682
accountant,,senior,2,2,0.6315614879131317,1.2631229758262634
accountant,,member,1,1,1.2375447750091553,1.2375447750091553
accountant,,operations,2,2,0.6028965413570404,1.2057930827140808
accountant,,pricewaterhousecoopers,2,2,0.5635866681113839,1.1271733362227678
accountant,,small,1,1,1.0712778568267822,1.0712778568267822
accountant,,returns,1,1,1.0607983469963074,1.0607983469963074
accountant,,academy,1,1,1.0397398471832275,1.0397398471832275
accountant,,acquisition,2,1,0.517273336648941,1.034546673297882
accountant,,joining,2,2,0.5001877993345261,1.0003755986690521
accountant,,expertise,1,1,0.9584087133407593,0.9584087133407593
accountant,,beatriz,1,1,0.8787490651011467,0.8787490651011467
accountant,,treehouse,1,1,0.8630219101905823,0.8630219101905823
accountant,,cpa,1,1,0.8549028150737286,0.8549028150737286
accountant,,prior,2,2,0.42223310470581055,0.8444662094116211
accountant,,wiltshire,1,1,0.8409308781847358,0.8409308781847358
accountant,,simple,1,1,0.7943898141384125,0.7943898141384125
accountant,,specializes,1,1,0.7785148620605469,0.7785148620605469
accountant,,stressful,1,1,0.7626120448112488,0.7626120448112488
accountant,,bills,1,1,0.7621835470199585,0.7621835470199585
accountant,,office,1,1,0.7612795829772949,0.7612795829772949
accountant,,role,1,1,0.7600695490837097,0.7600695490837097
accountant,,offices,1,1,0.7546678334474564,0.7546678334474564
accountant,,irs,1,1,0.7473812103271484,0.7473812103271484
accountant,,affairs,1,1,0.7412492036819458,0.7412492036819458
accountant,,governmental,1,1,0.7178865671157837,0.7178865671157837
accountant,,clichã©s,1,1,0.7174117565155029,0.7174117565155029
accountant,,practice,1,1,0.7157505750656128,0.7157505750656128
accountant,,works,1,1,0.7082342505455017,0.7082342505455017
accountant,,firms,1,1,0.7080654613673687,0.7080654613673687
accountant,,planning,1,1,0.7001816034317017,0.7001816034317017
accountant,,trading,2,2,0.34552888572216034,0.6910577714443207
accountant,,left,1,1,0.6800152063369751,0.6800152063369751
accountant,,customer,1,1,0.6711311340332031,0.6711311340332031
accountant,,valuations,1,1,0.6606950610876083,0.6606950610876083
accountant,,started,1,1,0.6313194036483765,0.6313194036483765
accountant,,meet,1,1,0.6217219829559326,0.6217219829559326
accountant,,bachelor,1,1,0.615960955619812,0.615960955619812
accountant,,acquisitions,1,1,0.615130253136158,0.615130253136158
accountant,,dealing,1,1,0.614556074142456,0.614556074142456
accountant,,families,1,1,0.6142880320549011,0.6142880320549011
accountant,,payable,1,1,0.5959470272064209,0.5959470272064209
accountant,,corporations,1,1,0.5849015712738037,0.5849015712738037
accountant,,taxation,1,1,0.5796784162521362,0.5796784162521362
accountant,,âģľrecruit,1,1,0.5707659646868706,0.5707659646868706
accountant,,first,1,1,0.5619237199425697,0.5619237199425697
accountant,,chartered,1,1,0.5473322570323944,0.5473322570323944
accountant,,prospects,1,1,0.545558350160718,0.545558350160718
accountant,,markâģļs,1,1,0.5387496501207352,0.5387496501207352
accountant,,online,1,1,0.5297885537147522,0.5297885537147522
accountant,,requirements,1,1,0.5254810452461243,0.5254810452461243
accountant,,certified,1,1,0.5229547023773193,0.5229547023773193
accountant,,practicing,1,1,0.5215902328491211,0.5215902328491211
accountant,,previously,1,1,0.5108588486909866,0.5108588486909866
accountant,,stocks,1,1,0.4988754689693451,0.4988754689693451
accountant,,problem,1,1,0.49547749757766724,0.49547749757766724
accountant,,present,1,1,0.48354610800743103,0.48354610800743103
accountant,,representation,1,1,0.4774300158023834,0.4774300158023834
accountant,,c.a,1,1,0.4765905812382698,0.4765905812382698
accountant,,adjunct,1,1,0.47508275508880615,0.47508275508880615
accountant,,joined,1,1,0.4662923514842987,0.4662923514842987
accountant,,india,1,1,0.449677512049675,0.449677512049675
accountant,,associates,1,1,0.4412723183631897,0.4412723183631897
accountant,,skills,1,1,0.43746691942214966,0.43746691942214966
accountant,,team,1,1,0.42516517639160156,0.42516517639160156
accountant,,analyst,1,1,0.4227941036224365,0.4227941036224365
accountant,,clickandpledge.com,1,1,0.41027845721691847,0.41027845721691847
accountant,,dating,1,1,0.40946485847234726,0.40946485847234726
accountant,,company's,1,1,0.4057293012738228,0.4057293012738228
accountant,,international,1,1,0.3969486951828003,0.3969486951828003
accountant,,survivor,1,1,0.39329323172569275,0.39329323172569275
accountant,,cpas,1,1,0.3869872875511646,0.3869872875511646
accountant,,client,1,1,0.38282710313796997,0.38282710313796997
