profession,gender,token,count_topk,doc_freq,mean_attr,weighted_score
accountant,M,stocks,1,1,0.4988754689693451,0.4988754689693451
accountant,M,problem,1,1,0.49547749757766724,0.49547749757766724
accountant,M,present,1,1,0.48354610800743103,0.48354610800743103
accountant,M,representation,1,1,0.4774300158023834,0.4774300158023834
accountant,M,c.a,1,1,0.4765905812382698,0.4765905812382698
accountant,M,joined,1,1,0.4662923514842987,0.4662923514842987
accountant,M,india,1,1,0.449677512049675,0.449677512049675
accountant,M,associates,1,1,0.4412723183631897,0.4412723183631897
accountant,M,skills,1,1,0.43746691942214966,0.43746691942214966
accountant,M,team,1,1,0.42516517639160156,0.42516517639160156
accountant,M,analyst,1,1,0.4227941036224365,0.4227941036224365
accountant,M,clickandpledge.com,1,1,0.41027845721691847,0.41027845721691847
accountant,M,company's,1,1,0.4057293012738228,0.4057293012738228
accountant,M,international,1,1,0.3969486951828003,0.3969486951828003
accountant,M,survivor,1,1,0.39329323172569275,0.39329323172569275
accountant,M,receiving,1,1,0.38205885887145996,0.38205885887145996
accountant,M,controller,1,1,0.3662015199661255,0.3662015199661255
accountant,M,allowed,1,1,0.3576525151729584,0.3576525151729584
accountant,M,advisor,1,1,0.3568984568119049,0.3568984568119049
accountant,M,receivable,1,1,0.3456694595515728,0.3456694595515728
accountant,M,below,1,1,0.33838289976119995,0.33838289976119995
accountant,M,graeme,1,1,0.32858603447675705,0.32858603447675705
accountant,M,british,1,1,0.3268488645553589,0.3268488645553589
accountant,M,firmâģļs,1,1,0.32140130922198296,0.32140130922198296
accountant,M,co-founded,1,1,0.29217682406306267,0.29217682406306267
accountant,M,co-founder,1,1,0.28849993273615837,0.28849993273615837
accountant,M,currently,1,1,0.28615814447402954,0.28615814447402954
architect,F,architecture,17,7,0.9745459803653991,16.567281666211784
architect,F,architectural,5,5,1.8686463490128518,9.343231745064259
architect,F,architect,5,4,1.5048713508993388,7.524356754496694
architect,F,design,6,4,1.0455153528600931,6.273092117160559
architect,F,building,4,3,1.0634708255529404,4.2538833022117615
architect,F,architects,3,3,1.3982930183410645,4.194879055023193
architect,F,techniques,4,3,0.7646257574670017,3.0585030298680067
architect,F,construction,2,2,0.9031973779201508,1.8063947558403015
architect,F,designing,1,1,1.5731511116027832,1.5731511116027832
architect,F,passive,2,2,0.7337056696414948,1.4674113392829895
architect,F,dover,1,1,1.384091317653656,1.384091317653656
architect,F,fabric,1,1,1.3646571636199951,1.3646571636199951
architect,F,sap,2,1,0.6197986006736755,1.239597201347351
architect,F,implementations,1,1,1.142640233039856,1.142640233039856
architect,F,progressive,1,1,1.0270028114318848,1.0270028114318848
architect,F,delware,1,1,1.0144636705517769,1.0144636705517769
architect,F,symantec,1,1,1.009631123393774,1.009631123393774
architect,F,slam,1,1,0.9205231890082359,0.9205231890082359
architect,F,home,1,1,0.8517682552337646,0.8517682552337646
architect,F,surveyors,1,1,0.7325951457023621,0.7325951457023621
architect,F,practices,1,1,0.7290891110897064,0.7290891110897064
architect,F,business,1,1,0.6680049896240234,0.6680049896240234
architect,F,autodesk,1,1,0.6596636679023504,0.6596636679023504
architect,F,london,1,1,0.6488464176654816,0.6488464176654816
architect,F,professor,1,1,0.6472057104110718,0.6472057104110718
architect,F,improving,1,1,0.6304701566696167,0.6304701566696167
architect,F,end-to-end,1,1,0.629282146692276,0.629282146692276
architect,F,furniture,1,1,0.6224684715270996,0.6224684715270996
architect,F,spaces,1,1,0.5818377733230591,0.5818377733230591
architect,F,prior,1,1,0.5615424513816833,0.5615424513816833
architect,F,through,1,1,0.5355718731880188,0.5355718731880188
architect,F,owners,1,1,0.5244959592819214,0.5244959592819214
architect,F,designer,1,1,0.5066471695899963,0.5066471695899963
architect,F,member,1,1,0.474727600812912,0.474727600812912
architect,F,lead,1,1,0.46474722027778625,0.46474722027778625
architect,F,filmmakers,1,1,0.45186346769332886,0.45186346769332886
architect,F,yoruba,1,1,0.42775521613657475,0.42775521613657475
architect,F,worked,1,1,0.42610490322113037,0.42610490322113037
architect,F,cmdesign,1,1,0.4116681106388569,0.4116681106388569
architect,F,board,1,1,0.40771937370300293,0.40771937370300293
architect,F,gallery,1,1,0.40755563974380493,0.40755563974380493
architect,F,blend,1,1,0.39391690492630005,0.39391690492630005
architect,F,now,1,1,0.3778455853462219,0.3778455853462219
architect,F,domains,1,1,0.36987046897411346,0.36987046897411346
architect,F,collaborated,1,1,0.3452923893928528,0.3452923893928528
architect,F,strauss,1,1,0.29162392020225525,0.29162392020225525
architect,F,years,1,1,0.28512486815452576,0.28512486815452576
architect,M,architecture,25,17,1.6219818472862244,40.54954618215561
architect,M,architectural,17,15,1.2107695128549547,20.58308171853423
architect,M,design,18,14,0.9916881140735414,17.850386053323746
architect,M,architects,6,5,1.335723027586937,8.014338165521622
architect,M,construction,6,5,0.9446226805448532,5.667736083269119
architect,M,designing,2,2,2.754557281732559,5.509114563465118
architect,M,architect,6,6,0.8295641814668974,4.977385088801384
architect,M,building,6,4,0.7534192303816477,4.5205153822898865
architect,M,java,3,3,1.1881815393765767,3.5645446181297302
architect,M,buildings,3,3,1.078827291727066,3.236481875181198
architect,M,practice,3,3,0.8966846006611983,2.690053801983595
architect,M,designed,3,3,0.8883448938528696,2.665034681558609
architect,M,microsoft,3,2,0.826526902616024,2.479580707848072
architect,M,renovations,2,2,1.059984877705574,2.119969755411148
architect,M,renovation,2,1,0.9103327691555023,1.8206655383110046
architect,M,patterns,1,1,1.4799979627132416,1.4799979627132416
architect,M,vmware,3,1,0.43693405389785767,1.310802161693573
architect,M,geosynchronous,1,1,1.2774903774261475,1.2774903774261475
architect,M,service-oriented,1,1,1.234786495566368,1.234786495566368
architect,M,software,2,2,0.6167247891426086,1.2334495782852173
architect,M,factors,1,1,1.2324287742376328,1.2324287742376328
architect,M,works,2,2,0.6154881715774536,1.2309763431549072
architect,M,solutions,2,2,0.6110350713133812,1.2220701426267624
architect,M,geometry,1,1,1.2217084169387817,1.2217084169387817
architect,M,firm,2,2,0.6022445410490036,1.2044890820980072
architect,M,architect's,1,1,1.1883100643754005,1.1883100643754005
architect,M,kuleuven/luca,1,1,1.174799708649516,1.174799708649516
architect,M,roofs,1,1,1.172992218285799,1.172992218285799
architect,M,architecting,1,1,1.1200455576181412,1.1200455576181412
architect,M,analytics,1,1,1.105607032775879,1.105607032775879
architect,M,technical,2,2,0.5315985381603241,1.0631970763206482
architect,M,allianz,1,1,1.0276260375976562,1.0276260375976562
architect,M,firms,1,1,1.0111100394278765,1.0111100394278765
architect,M,currently,2,2,0.4917047619819641,0.9834095239639282
architect,M,virtualization,1,1,0.9818459153175354,0.9818459153175354
architect,M,âģľarchitectural,1,1,0.9769554939121008,0.9769554939121008
architect,M,parametric,2,2,0.48783320747315884,0.9756664149463177
architect,M,residential,2,2,0.4746253676712513,0.9492507353425026
architect,M,subjects,2,2,0.46895796060562134,0.9379159212112427
architect,M,elegant,1,1,0.9313493371009827,0.9313493371009827
architect,M,pioneered,1,1,0.8983526229858398,0.8983526229858398
architect,M,advanced,1,1,0.8887332081794739,0.8887332081794739
architect,M,client,1,1,0.8768296241760254,0.8768296241760254
architect,M,techniques,1,1,0.8727388381958008,0.8727388381958008
architect,M,london,1,1,0.8688216209411621,0.8688216209411621
architect,M,work,2,2,0.42493537068367004,0.8498707413673401
architect,M,drawings,1,1,0.8246585428714752,0.8246585428714752
architect,M,ranging,1,1,0.8213106393814087,0.8213106393814087
architect,M,cafe,1,1,0.7966902256011963,0.7966902256011963
architect,M,application,1,1,0.7958443760871887,0.7958443760871887
architect,M,gary,2,1,0.39710068702697754,0.7942013740539551
architect,M,efficiently,1,1,0.7728433012962341,0.7728433012962341
architect,M,improving,1,1,0.7728284597396851,0.7728284597396851
architect,M,encore...bruxelles,1,1,0.7703759074211121,0.7703759074211121
architect,M,data,1,1,0.7637606859207153,0.7637606859207153
architect,M,3dsignals,1,1,0.7547086253762245,0.7547086253762245
architect,M,iaac,1,1,0.7350340932607651,0.7350340932607651
architect,M,property,1,1,0.7333767414093018,0.7333767414093018
architect,M,forming,1,1,0.7287594676017761,0.7287594676017761
architect,M,developers,1,1,0.7156918048858643,0.7156918048858643
architect,M,management.hector,1,1,0.7099824324250221,0.7099824324250221
architect,M,photography,1,1,0.7044009566307068,0.7044009566307068
architect,M,restoration,1,1,0.6959795951843262,0.6959795951843262
architect,M,ricardo,1,1,0.6822792887687683,0.6822792887687683
architect,M,preservation,1,1,0.6776701435446739,0.6776701435446739
architect,M,interface,1,1,0.6727659348398447,0.6727659348398447
architect,M,engineering,1,1,0.6686387062072754,0.6686387062072754
architect,M,experience,2,2,0.33253833651542664,0.6650766730308533
architect,M,designs,1,1,0.6617169380187988,0.6617169380187988
architect,M,admired,1,1,0.6578122973442078,0.6578122973442078
architect,M,houzz,1,1,0.6545974016189575,0.6545974016189575
architect,M,budget-appropriate,1,1,0.6291175931692123,0.6291175931692123
architect,M,designers,1,1,0.6166485548019409,0.6166485548019409
architect,M,predictive,1,1,0.6118597984313965,0.6118597984313965
architect,M,competitions,1,1,0.6083040796220303,0.6083040796220303
architect,M,co-author,1,1,0.5979848764836788,0.5979848764836788
architect,M,microsoft's,1,1,0.5923537015914917,0.5923537015914917
architect,M,housing,1,1,0.5829769968986511,0.5829769968986511
architect,M,distributed,1,1,0.5769788026809692,0.5769788026809692
architect,M,developing,1,1,0.5759391784667969,0.5759391784667969
architect,M,models,1,1,0.5723251700401306,0.5723251700401306
architect,M,ajax-enabled,1,1,0.5717734508216381,0.5717734508216381
architect,M,want,1,1,0.5695011615753174,0.5695011615753174
architect,M,andy,1,1,0.5667935609817505,0.5667935609817505
architect,M,department,1,1,0.5660873651504517,0.5660873651504517
architect,M,brand-building,1,1,0.5607046624645591,0.5607046624645591
architect,M,thoroughly,1,1,0.5606986284255981,0.5606986284255981
architect,M,cloud,1,1,0.5596115589141846,0.5596115589141846
architect,M,conferences,1,1,0.5540157146751881,0.5540157146751881
architect,M,pricing,1,1,0.5512266159057617,0.5512266159057617
architect,M,equipment,1,1,0.550491064786911,0.550491064786911
architect,M,framework,1,1,0.5445111636072397,0.5445111636072397
architect,M,international,1,1,0.5437114834785461,0.5437114834785461
architect,M,frameworks,1,1,0.541837215423584,0.541837215423584
architect,M,focus,1,1,0.5414857864379883,0.5414857864379883
architect,M,graduate,1,1,0.5376485586166382,0.5376485586166382
architect,M,does,1,1,0.5376297831535339,0.5376297831535339
architect,M,houses,1,1,0.5281818509101868,0.5281818509101868
architect,M,space,1,1,0.5252813100814819,0.5252813100814819
architect,M,innovation,1,1,0.525077648460865,0.525077648460865
architect,M,startup,1,1,0.5158644914627075,0.5158644914627075
architect,M,civil,1,1,0.5119400024414062,0.5119400024414062
architect,M,jini,1,1,0.4950285777449608,0.4950285777449608
architect,M,deployments,1,1,0.4860880821943283,0.4860880821943283
architect,M,prior,1,1,0.4848489761352539,0.4848489761352539
architect,M,qualys,1,1,0.48041045665740967,0.48041045665740967
architect,M,started,1,1,0.4743455648422241,0.4743455648422241
architect,M,presents,1,1,0.4652581214904785,0.4652581214904785
architect,M,determine,1,1,0.44792845845222473,0.44792845845222473
architect,M,industrial,1,1,0.4430551528930664,0.4430551528930664
architect,M,school,1,1,0.4410758912563324,0.4410758912563324
architect,M,responsibilities,1,1,0.4393197000026703,0.4393197000026703
architect,M,cooking,1,1,0.43912260234355927,0.43912260234355927
architect,M,evangelist,1,1,0.43618258833885193,0.43618258833885193
architect,M,anthony,1,1,0.43378642201423645,0.43378642201423645
architect,M,won,1,1,0.43135881423950195,0.43135881423950195
architect,M,enterprise,1,1,0.425811231136322,0.425811231136322
architect,M,architecten,1,1,0.42412030696868896,0.42412030696868896
architect,M,component,1,1,0.42301255464553833,0.42301255464553833
architect,M,built,1,1,0.4215701222419739,0.4215701222419739
architect,M,tradesman,1,1,0.41375621780753136,0.41375621780753136
architect,M,interfaces,1,1,0.4134715795516968,0.4134715795516968
architect,M,achieved,1,1,0.4037829041481018,0.4037829041481018
architect,M,brighton,1,1,0.40308027155697346,0.40308027155697346
architect,M,roger,1,1,0.39924606680870056,0.39924606680870056
architect,M,customers,1,1,0.3978307843208313,0.3978307843208313
architect,M,limehouse,1,1,0.3962555266916752,0.3962555266916752
architect,M,world,1,1,0.3924201875925064,0.3924201875925064
architect,M,publisher,1,1,0.3912825584411621,0.3912825584411621
architect,M,partner,1,1,0.38873642683029175,0.38873642683029175
architect,M,happy,1,1,0.38414591550827026,0.38414591550827026
architect,M,record,1,1,0.3831237554550171,0.3831237554550171
architect,M,pci-sig,1,1,0.3805791698396206,0.3805791698396206
architect,M,revolutionary,1,1,0.37769365310668945,0.37769365310668945
architect,M,user,1,1,0.3761807680130005,0.3761807680130005
architect,M,sql,1,1,0.3749687075614929,0.3749687075614929
architect,M,conceptual,1,1,0.3733523190021515,0.3733523190021515
architect,M,ceo,1,1,0.37299415469169617,0.37299415469169617
architect,M,concrete,1,1,0.371481329202652,0.371481329202652
architect,M,first,1,1,0.35995638370513916,0.35995638370513916
architect,M,warehouses,1,1,0.35205572843551636,0.35205572843551636
architect,M,engineer,1,1,0.3515205383300781,0.3515205383300781
architect,M,sqlxml,1,1,0.3499989025294781,0.3499989025294781
architect,M,subsequently,1,1,0.3415442109107971,0.3415442109107971
architect,M,technology,1,1,0.3323114514350891,0.3323114514350891
architect,M,created,1,1,0.3180568516254425,0.3180568516254425
architect,M,supply,1,1,0.3048654794692993,0.3048654794692993
architect,M,ci/cd,1,1,0.289297454059124,0.289297454059124
architect,M,labs,1,1,0.24728824850171804,0.24728824850171804
architect,M,editor,1,1,0.24435555934906006,0.24435555934906006
attorney,F,law,93,56,0.9137610835323651,84.97978076850995
attorney,F,practice,24,21,0.8781509650871158,21.07562316209078
attorney,F,legal,20,19,0.9050960049033165,18.10192009806633
attorney,F,attorney,14,11,1.1675632308636392,16.34588523209095
attorney,F,represents,9,9,1.6836047139432695,15.152442425489426
attorney,F,litigation,14,12,1.0534832022551979,14.748764831572771
attorney,F,juris,4,4,2.3675666358321905,9.470266543328762
attorney,F,clients,11,10,0.8046232827685096,8.850856110453606
attorney,F,attorneys,5,5,1.4519872829318046,7.259936414659023
attorney,F,court,7,6,0.8689818637711662,6.082873046398163
attorney,F,courts,6,6,0.963553554068009,5.781321324408054
attorney,F,degree,10,8,0.5778642982244492,5.778642982244492
attorney,F,appeals,5,4,1.0695992089807986,5.347996044903994
attorney,F,representing,5,5,1.0401751041412353,5.200875520706177
attorney,F,matters,7,7,0.7095420360565186,4.96679425239563
attorney,F,cases,7,7,0.7046124088977065,4.932286862283945
attorney,F,counsel,6,5,0.8022459546724955,4.813475728034973
attorney,F,lawyers,3,3,1.5695122877756755,4.708536863327026
attorney,F,focuses,7,7,0.6557630045073373,4.590341031551361
attorney,F,university,4,3,1.0399552136659622,4.159820854663849
attorney,F,board,5,5,0.7290895938873291,3.6454479694366455
attorney,F,bar,3,2,1.1014870405197144,3.304461121559143
attorney,F,firm,4,4,0.8014060333371162,3.205624133348465
attorney,F,practices,2,2,1.5643173158168793,3.1286346316337585
attorney,F,disputes,3,3,1.0394358796377976,3.118307638913393
attorney,F,firm's,2,2,1.4912643134593964,2.9825286269187927
attorney,F,prosecutors,1,1,2.566087007522583,2.566087007522583
attorney,F,association,4,4,0.6272257808595896,2.5089031234383583
attorney,F,estate,4,4,0.6186287887394428,2.4745151549577713
attorney,F,representation,2,2,1.2275390028953552,2.4550780057907104
attorney,F,malpractice,2,2,1.1112806871533394,2.2225613743066788
attorney,F,defense,3,3,0.7273187587658564,2.1819562762975693
attorney,F,federal,3,3,0.6950269142786661,2.0850807428359985
attorney,F,graduate,3,3,0.6903494497140249,2.0710483491420746
attorney,F,case,2,1,1.032780647277832,2.065561294555664
attorney,F,doctorate,1,1,1.96034836769104,1.96034836769104
attorney,F,llp,3,3,0.580803586790959,1.7424107603728771
attorney,F,illinois,4,2,0.424509274889715,1.69803709955886
attorney,F,landlord-tenant,1,1,1.6542907059192657,1.6542907059192657
attorney,F,connecticut,2,2,0.8121959222480655,1.624391844496131
attorney,F,experience,2,2,0.7993972301483154,1.5987944602966309
attorney,F,specializes,2,2,0.7761911451816559,1.5523822903633118
attorney,F,firms,2,2,0.7658456191420555,1.531691238284111
attorney,F,dispute,1,1,1.5049772262573242,1.5049772262573242
attorney,F,supreme,2,2,0.7216567099094391,1.4433134198188782
attorney,F,subcontractors,1,1,1.4427118003368378,1.4427118003368378
attorney,F,land,1,1,1.4352295398712158,1.4352295398712158
attorney,F,texas,1,1,1.4093769788742065,1.4093769788742065
attorney,F,carolina,2,2,0.6783348917961121,1.3566697835922241
attorney,F,transactions,2,2,0.6722661890089512,1.3445323780179024
attorney,F,contractors,1,1,1.3227338194847107,1.3227338194847107
attorney,F,ashley,2,1,0.6602505743503571,1.3205011487007141
attorney,F,settlements,2,2,0.641975462436676,1.283950924873352
attorney,F,co-founded,2,2,0.6357987746596336,1.2715975493192673
attorney,F,labor,1,1,1.2578438520431519,1.2578438520431519
attorney,F,use,1,1,1.2568683624267578,1.2568683624267578
attorney,F,utility-scale,1,1,1.2333496510982513,1.2333496510982513
attorney,F,violations,1,1,1.230512648820877,1.230512648820877
attorney,F,ilw.com,1,1,1.2079320512712002,1.2079320512712002
attorney,F,california,2,2,0.6023085713386536,1.2046171426773071
attorney,F,school,2,2,0.6019709184765816,1.2039418369531631
attorney,F,reslegaldiva,1,1,1.2039065025746822,1.2039065025746822
attorney,F,dealing,1,1,1.1914513111114502,1.1914513111114502
attorney,F,office,2,2,0.5949414372444153,1.1898828744888306
attorney,F,violence,2,1,0.5791412312537432,1.1582824625074863
attorney,F,farm,2,1,0.5731088370084763,1.1462176740169525
attorney,F,www.blackprosecutors.org,1,1,1.137937493622303,1.137937493622303
attorney,F,arbitrator,1,1,1.1323319673538208,1.1323319673538208
attorney,F,graduated,3,3,0.372200608253479,1.116601824760437
attorney,F,justice,2,2,0.5528194904327393,1.1056389808654785
attorney,F,lawâģļs,1,1,1.0742056742310524,1.0742056742310524
attorney,F,immigration,1,1,1.065739631652832,1.065739631652832
attorney,F,handles,1,1,1.056269884109497,1.056269884109497
attorney,F,attorneyâģļs,1,1,1.049957463517785,1.049957463517785
attorney,F,english,2,2,0.5220539942383766,1.0441079884767532
attorney,F,rights,1,1,1.0318799018859863,1.0318799018859863
attorney,F,attoreny,1,1,1.020996816456318,1.020996816456318
attorney,F,perspective,2,2,0.4936274215579033,0.9872548431158066
attorney,F,planning,1,1,0.9721251726150513,0.9721251726150513
attorney,F,circuit,1,1,0.9663925170898438,0.9663925170898438
attorney,F,commercial,1,1,0.9640511870384216,0.9640511870384216
attorney,F,nesselbush,1,1,0.9586245268583298,0.9586245268583298
attorney,F,alabama,2,2,0.4693482220172882,0.9386964440345764
attorney,F,teams,1,1,0.937789797782898,0.937789797782898
attorney,F,fight,1,1,0.9370415210723877,0.9370415210723877
attorney,F,property,1,1,0.9339897632598877,0.9339897632598877
attorney,F,nonprofit,1,1,0.9338704943656921,0.9338704943656921
attorney,F,arbitrations,1,1,0.9310575425624847,0.9310575425624847
attorney,F,defends,1,1,0.9297561049461365,0.9297561049461365
attorney,F,practicing,2,2,0.4582180678844452,0.9164361357688904
attorney,F,providers,1,1,0.9143366292119026,0.9143366292119026
attorney,F,addition,1,1,0.9046875834465027,0.9046875834465027
attorney,F,regulatory,1,1,0.8850749731063843,0.8850749731063843
attorney,F,since,1,1,0.8796552419662476,0.8796552419662476
attorney,F,coached,1,1,0.8412038683891296,0.8412038683891296
attorney,F,constitutional,1,1,0.8376965522766113,0.8376965522766113
attorney,F,currently,1,1,0.8351523876190186,0.8351523876190186
attorney,F,austin,1,1,0.8300265371799469,0.8300265371799469
attorney,F,firmâģļs,2,2,0.4083794727921486,0.8167589455842972
attorney,F,contractual,1,1,0.8032857179641724,0.8032857179641724
attorney,F,guardianship,1,1,0.794520303606987,0.794520303606987
attorney,F,serves,1,1,0.7893139123916626,0.7893139123916626
attorney,F,magna,1,1,0.779377892613411,0.779377892613411
attorney,F,copyright,1,1,0.7626059651374817,0.7626059651374817
attorney,F,businesses,1,1,0.7547697424888611,0.7547697424888611
attorney,F,carder,1,1,0.7538352310657501,0.7538352310657501
attorney,F,spanish,1,1,0.7428670227527618,0.7428670227527618
attorney,F,arafat,1,1,0.7328287735581398,0.7328287735581398
attorney,F,proceeds,1,1,0.7193081378936768,0.7193081378936768
attorney,F,industry,1,1,0.7119216918945312,0.7119216918945312
attorney,F,obtained,1,1,0.7104712724685669,0.7104712724685669
attorney,F,pryor-bazeâģļs,1,1,0.7005125060677528,0.7005125060677528
attorney,F,1980s,1,1,0.6960849985480309,0.6960849985480309
attorney,F,lawyer,1,1,0.6916875839233398,0.6916875839233398
attorney,F,honorable,1,1,0.690891683101654,0.690891683101654
attorney,F,kingsport-times,1,1,0.6908369958400726,0.6908369958400726
attorney,F,act,1,1,0.6905367523431778,0.6905367523431778
attorney,F,jersey,1,1,0.6829705834388733,0.6829705834388733
attorney,F,arbitration,1,1,0.6711002588272095,0.6711002588272095
attorney,F,ccu,1,1,0.6556749641895294,0.6556749641895294
attorney,F,compliance,1,1,0.6494768857955933,0.6494768857955933
attorney,F,consumers,1,1,0.6453115344047546,0.6453115344047546
attorney,F,tribunal,1,1,0.6447603404521942,0.6447603404521942
attorney,F,writing,1,1,0.6340321227908134,0.6340321227908134
